0,wallet,billetera
1,guitar,guitarra
2,saxo,saxo
3,smartphone,celular
4,baby bottle,biberon
5,basketball ,pelota de basketball
6,bee,abeja
7,bicycle,bicicleta
8,boot,bota
9,binoculars,binoculares
10,ostrich,avestruz
11,star,estrella
12,car,auto
13,boat,barco
14,cup,taza
15,bone,hueso
16,bucket,balde
17,butterfly,mariposa
18,camel, camello
19,camera,camara
20,canon,ca単on
21,chicken, gallina
22,smoking pipe,pipa
23,cigarret,cigarrillo
24,mailbox,buzon
25,envelope,sobre
26,comb,peine
27,crab,cangrejo
28,cricket,grillo
29,crown,corona
30,thunderbolt,rayo
31,dog,perro
32,dollar sign, signo de dolar
33,moneybag, bolsa de dinero
34,dices, dados
35,drop,gota
36,rubber duck, patito de goma
37,dynamite, dinamita
38,planet earth, planeta tierra
39,elephant, elefante
40,eye,ojo
41,hearth, corazon
42,lips, labios
43,wood fire, fogata
44,fish, pez
45,fly, mosca
46,lizard, lagartija
47,gift,regalo
48,graduation cap, gorro de graduacion
49,microphone, microfono
50,bat, murcielago
51,spiderweb, telara単a
52,ghost,fantasma
53,hanger,percha
54,helicopter,helicoptero
55,horse,caballo
56,sandwatch,reloj de arena
57,apple,manzana
58,key,llave
59,airplane, avion
60,stamp,estampilla
61,lightbulb,foco
62,seal,foca
63,maraca,maracas
64,bomb,bomba
65,moon,luna
66,mouse,raton
67,vinil,disco de vinilo
68,tick tack toe, tateti
69,octopuss,pulpo
70,pacman,pacman
71,panda,panda
72,paperplane,avion de papel
73,feather,pluma
74,piano,piano
75,pig,chancho
76,cards,cartas
77,policeman,policia
78,faucet,canilla
79,diamond,diamante
80,rabit,conejo
81,umbrella,paraguas
82,lamp,lampara
83,christmas hat, gorro navide単o
84,atom, atomo
85,scorpion,escorpion
86,toilet seat,inodoro
87,sheep,oveja
88,shower,ducha
89,drum,tambor
90,smiley face, cara sonriente
91,sofa,sofa
92,stork,cigue単a
93,cat,gato
94,tea,te
95,television set,televisor
96,keylock,candado
97,tooth,diente
98,musical note, nota musical
99,trophy,trofeo